Rank,Name,Rating,Year,Duration,PG Rating,Description,Director,Writers,Stars
196, In the Name of the Father,8.1,1993,2h 13m,R,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free t...Read all",Jim Sheridan,Gerry Conlon,"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie"
197, The Gold Rush,8.1,1925,1h 35m,Approved,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",Charles Chaplin,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray"
198," Monsters, Inc",8.1,2001,1h 32m,G,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things ...Read all",Pete Docter,David Silverman,"Billy Crystal, John Goodman, Mary Gibbs"
199, Wild Tales,8.1,2014,2h 2m,R,Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron,Julian Loyola,"Darío Grandinetti, María Marull, Mónica Villa"
200, Ratatouille,8.1,2007,1h 51m,G,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,Brad Bird,Jan Pinkava,"Brad Garrett, Lou Romano, Patton Oswalt"
201, How to Train Your Dragon,8.1,2010,1h 38m,PG,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Dean DeBlois,Chris Sanders,"Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse"
202, The Deer Hunter,8.1,1978,3h 3m,R,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,Michael Cimino,Michael Cimino,"Robert De Niro, Christopher Walken, John Cazale"
203, Jaws,8.1,1975,2h 4m,PG,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg,Peter Benchley,"Roy Scheider, Robert Shaw, Richard Dreyfuss"
204, The General,8.1,1926,1h 18m,Passed,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized ...Read all",Clyde Bruckman,Buster Keaton,"Buster Keaton, Marion Mack, Glen Cavender"
205, Sherlock Jr,8.2,1924,45m,Passed,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Buster Keaton,Jean C. Havez,"Buster Keaton, Kathryn McGuire, Joe Keaton"
