Rank,Name,Rating,Year,Duration,PG Rating,Description,Director,Writers,Stars
1, The Shawshank Redemption,9.3,1994,2h 22m,R,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont,Stephen King,"Tim Robbins, Morgan Freeman, Bob Gunton"
2, The Godfather,9.2,1972,2h 55m,R,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,Mario Puzo,"Marlon Brando, Al Pacino, James Caan"
3, The Dark Knight,9.0,2008,2h 32m,PG-13,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Christopher Nolan,Jonathan Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart"
4, The Godfather Part II,9.0,1974,3h 22m,R,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall"
5, 12 Angry Men,9.0,1957,1h 36m,Approved,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,Reginald Rose,"Henry Fonda, Lee J. Cobb, Martin Balsam"
6, The Lord of the Rings: The Return of the King,9.0,2003,3h 21m,PG-13,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,J.R.R. Tolkien,"Elijah Wood, Viggo Mortensen, Ian McKellen"
7, Schindler's List,9.0,1993,3h 15m,R,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,Thomas Keneally,"Liam Neeson, Ralph Fiennes, Ben Kingsley"
8, Pulp Fiction,8.9,1994,2h 34m,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson"
9, The Lord of the Rings: The Fellowship of the Ring,8.9,2001,2h 58m,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,J.R.R. Tolkien,"Elijah Wood, Ian McKellen, Orlando Bloom"
10," The Good, the Bad and the Ugly",8.8,1966,2h 58m,R,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,Luciano Vincenzoni,"Clint Eastwood, Eli Wallach, Lee Van Cleef"
11, Forrest Gump,8.8,1994,2h 22m,PG-13,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Robert Zemeckis,Winston Groom,"Tom Hanks, Robin Wright, Gary Sinise"
12, The Lord of the Rings: The Two Towers,8.8,2002,2h 59m,PG-13,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,J.R.R. Tolkien,"Elijah Wood, Ian McKellen, Viggo Mortensen"
13, Fight Club,8.8,1999,2h 19m,R,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,Chuck Palahniuk,"Brad Pitt, Edward Norton, Meat Loaf"
14, Inception,8.8,2010,2h 28m,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the pro...Read all",Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
15, Star Wars: Episode V - The Empire Strikes Back,8.7,1980,2h 4m,PG,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the gal...Read all",Irvin Kershner,Leigh Brackett,"Mark Hamill, Harrison Ford, Carrie Fisher"
16, The Matrix,8.7,1999,2h 16m,R,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Lana Wachowski,Lilly Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
17, Goodfellas,8.7,1990,2h 25m,R,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Martin Scorsese,Nicholas Pileggi,"Robert De Niro, Ray Liotta, Joe Pesci"
18, One Flew Over the Cuckoo's Nest,8.7,1975,2h 13m,R,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Milos Forman,Lawrence Hauben,"Jack Nicholson, Louise Fletcher, Michael Berryman"
19, Interstellar,8.7,2014,2h 49m,PG-13,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Christopher Nolan,Jonathan Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
20, Se7en,8.6,1995,2h 7m,R,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,Andrew Kevin Walker,"Morgan Freeman, Brad Pitt, Kevin Spacey"
21, It's a Wonderful Life,8.6,1946,2h 10m,PG,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,Frances Goodrich,"James Stewart, Donna Reed, Lionel Barrymore"
22, Seven Samurai,8.6,1954,3h 27m,Not Rated,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",Akira Kurosawa,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima"
23, The Silence of the Lambs,8.6,1991,1h 58m,R,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,Thomas Harris,"Jodie Foster, Anthony Hopkins, Scott Glenn"
24, Saving Private Ryan,8.6,1998,2h 49m,R,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,Robert Rodat,"Tom Hanks, Matt Damon, Tom Sizemore"
25, City of God,8.6,2002,2h 10m,R,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Fernando Meirelles,Kátia Lund,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele"
26, The Green Mile,8.6,1999,3h 9m,R,"Paul Edgecomb, the head guard of a prison, meets an inmate, John Coffey, a black man who is accused of murdering two girls. His life changes drastically when he discovers that John has a spe...Read all",Frank Darabont,Stephen King,"Tom Hanks, Michael Clarke Duncan, David Morse"
27, Life Is Beautiful,8.6,1997,1h 56m,PG-13,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",Roberto Benigni,Vincenzo Cerami,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini"
28, Terminator 2: Judgment Day,8.6,1991,2h 17m,R,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",James Cameron,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong"
29, Star Wars: Episode IV - A New Hope,8.6,1977,2h 1m,PG,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue ...Read all",George Lucas,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher"
30, Back to the Future,8.5,1985,1h 56m,PG,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Robert Zemeckis,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson"
31, Spirited Away,8.6,2001,2h 4m,PG,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",Hayao Miyazaki,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino"
32, The Pianist,8.5,2002,2h 30m,R,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",Roman Polanski,Ronald Harwood,"Adrien Brody, Thomas Kretschmann, Frank Finlay"
33, Parasite,8.5,2019,2h 12m,R,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong"
34, Gladiator,8.5,2000,2h 35m,R,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,David Franzoni,"Russell Crowe, Joaquin Phoenix, Connie Nielsen"
35, Psycho,8.5,1960,1h 49m,R,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,Alfred Hitchcock,Joseph Stefano,"Anthony Perkins, Janet Leigh, Vera Miles"
36, The Lion King,8.5,1994,1h 28m,G,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers,Rob Minkoff,"Matthew Broderick, Jeremy Irons, James Earl Jones"
37, The Departed,8.5,2006,2h 31m,R,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,William Monahan,"Leonardo DiCaprio, Matt Damon, Jack Nicholson"
38, Spider-Man: Across the Spider-Verse,8.6,2023,2h 20m,PG,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Mi...Read all",Joaquim Dos Santos,Kemp Powers,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry"
39, Grave of the Fireflies,8.5,1988,1h 28m,Not Rated,A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,Akiyuki Nosaka,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi"
40, Whiplash,8.5,2014,1h 46m,R,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist"
41, American History X,8.5,1998,1h 59m,R,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who id...Read all",Tony Kaye,David McKenna,"Edward Norton, Edward Furlong, Beverly D'Angelo"
42, Léon: The Professional,8.5,1994,1h 50m,R,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin...Read all",Luc Besson,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman"
43, The Prestige,8.5,2006,2h 10m,PG-13,Rival 19th-century magicians engage in a bitter battle for trade secrets.,Christopher Nolan,Jonathan Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson"
44, Harakiri,8.6,1962,2h 13m,Not Rated,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so ...Read all",Masaki Kobayashi,Yasuhiko Takiguchi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita"
45, Casablanca,8.5,1942,1h 42m,PG,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,Julius J. Epstein,"Humphrey Bogart, Ingrid Bergman, Paul Henreid"
46, The Usual Suspects,8.5,1995,1h 46m,R,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,Bryan Singer,Christopher McQuarrie,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri"
47, The Intouchables,8.5,2011,1h 52m,R,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,Éric Toledano,"François Cluzet, Omar Sy, Anne Le Ny"
48, Cinema Paradiso,8.5,1988,2h 54m,PG,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love wit...Read all",Giuseppe Tornatore,Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili"
49, Dune: Part Two,8.5,2024,2h 46m,PG-13,Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the univers...Read all,Denis Villeneuve,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson"
50, Modern Times,8.5,1936,1h 27m,G,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman"
51, Alien,8.5,1979,1h 57m,R,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",Ridley Scott,Dan O'Bannon,"Sigourney Weaver, Tom Skerritt, John Hurt"
52, Rear Window,8.5,1954,1h 52m,PG,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,Alfred Hitchcock,John Michael Hayes,"James Stewart, Grace Kelly, Wendell Corey"
53, Once Upon a Time in the West,8.5,1968,2h 46m,PG-13,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone,Sergio Donati,"Henry Fonda, Charles Bronson, Claudia Cardinale"
54, Django Unchained,8.5,2012,2h 45m,R,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",Quentin Tarantino,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio"
55, City Lights,8.5,1931,1h 27m,G,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee"
56, Apocalypse Now,8.4,1979,2h 27m,R,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,John Milius,"Martin Sheen, Marlon Brando, Robert Duvall"
57, Memento,8.4,2000,1h 53m,R,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",Christopher Nolan,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano"
58, WALL·E,8.4,2008,1h 38m,G,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",Andrew Stanton,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin"
59, Indiana Jones and the Raiders of the Lost Ark,8.4,1981,1h 55m,PG,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",Steven Spielberg,Lawrence Kasdan,"Harrison Ford, Karen Allen, Paul Freeman"
60, The Lives of Others,8.4,2006,2h 17m,R,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch"
61, 12th Fail,8.8,2023,2h 27m,N/A,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,Vidhu Vinod Chopra,Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi"
62, Sunset Boulevard,8.4,1950,1h 50m,Approved,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder,Charles Brackett,"William Holden, Gloria Swanson, Erich von Stroheim"
63, Avengers: Infinity War,8.4,2018,2h 29m,PG-13,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Anthony Russo,Joe Russo,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
64, Spider-Man: Into the Spider-Verse,8.4,2018,1h 57m,PG,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,Bob Persichetti,Peter Ramsey,"Shameik Moore, Jake Johnson, Hailee Steinfeld"
65, Paths of Glory,8.4,1957,1h 28m,Approved,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,Stanley Kubrick,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou"
66, Witness for the Prosecution,8.4,1957,1h 56m,Approved,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Billy Wilder,Agatha Christie,"Tyrone Power, Marlene Dietrich, Charles Laughton"
67, The Shining,8.4,1980,2h 26m,R,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the...Read all",Stanley Kubrick,Stephen King,"Jack Nicholson, Shelley Duvall, Danny Lloyd"
68, The Great Dictator,8.4,1940,2h 5m,G,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie"
69, Aliens,8.4,1986,2h 17m,R,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",James Cameron,James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn"
70, Inglourious Basterds,8.4,2009,2h 33m,R,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth"
71, The Dark Knight Rises,8.4,2012,2h 44m,PG-13,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",Christopher Nolan,Jonathan Nolan,"Christian Bale, Tom Hardy, Anne Hathaway"
72, Coco,8.4,2017,1h 45m,PG,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Lee Unkrich,Adrian Molina,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt"
73, Amadeus,8.4,1984,2h 40m,PG,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him...Read all",Milos Forman,Peter Shaffer,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge"
74, Toy Story,8.3,1995,1h 21m,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,John Lasseter,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles"
75, Dr,8.3,1964,1h 35m,PG,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Stanley Kubrick,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden"
76, Oldboy,8.3,2003,2h,R,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",Park Chan-wook,Garon Tsuchiya,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong"
77, American Beauty,8.3,1999,2h 2m,R,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Sam Mendes,Alan Ball,"Kevin Spacey, Annette Bening, Thora Birch"
78, Avengers: Endgame,8.4,2019,3h 1m,PG-13,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' action...Read all",Anthony Russo,Joe Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo"
79, Good Will Hunting,8.3,1997,2h 6m,R,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Gus Van Sant,Matt Damon,"Robin Williams, Matt Damon, Ben Affleck"
80, Das Boot,8.4,1981,2h 29m,N/A,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,Wolfgang Petersen,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann"
81, Braveheart,8.3,1995,2h 58m,R,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,Randall Wallace,"Mel Gibson, Sophie Marceau, Patrick McGoohan"
82, Princess Mononoke,8.3,1997,2h 13m,PG-13,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, th...Read all",Hayao Miyazaki,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka"
83, Your Name,8.4,2016,1h 46m,N/A,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",Makoto Shinkai,Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita"
84, High and Low,8.4,1963,2h 23m,Not Rated,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Akira Kurosawa,Hideo Oguni,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai"
85, Joker,8.4,2019,2h 2m,R,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrac...Read all",Todd Phillips,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz"
86, 3 Idiots,8.4,2009,2h 50m,PG-13,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t...Read all",Rajkumar Hirani,Abhijat Joshi,"Aamir Khan, Madhavan, Mona Singh"
87, Once Upon a Time in America,8.3,1984,3h 49m,R,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Sergio Leone,Harry Grey,"Robert De Niro, James Woods, Elizabeth McGovern"
88, Singin' in the Rain,8.3,1952,1h 43m,G,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,Stanley Donen,Gene Kelly,"Gene Kelly, Donald O'Connor, Debbie Reynolds"
89, Capernaum,8.4,2018,2h 6m,R,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole"
90, Come and See,8.3,1985,2h 22m,Not Rated,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Elem Klimov,Ales Adamovich,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius"
91, Requiem for a Dream,8.3,2000,1h 42m,NC-17,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Darren Aronofsky,Hubert Selby Jr.,"Ellen Burstyn, Jared Leto, Jennifer Connelly"
92, Toy Story 3,8.3,2010,1h 43m,G,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned ...Read all",Lee Unkrich,John Lasseter,"Tom Hanks, Tim Allen, Joan Cusack"
93, Star Wars: Episode VI - Return of the Jedi,8.3,1983,2h 11m,PG,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",Richard Marquand,Lawrence Kasdan,"Mark Hamill, Harrison Ford, Carrie Fisher"
94, The Hunt,8.3,2012,1h 55m,R,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to...Read all",Thomas Vinterberg,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp"
95, Eternal Sunshine of the Spotless Mind,8.3,2004,1h 48m,R,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",Michel Gondry,Charlie Kaufman,"Jim Carrey, Kate Winslet, Tom Wilkinson"
96, Ikiru,8.3,1952,2h 23m,Not Rated,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori"
97, 2001: A Space Odyssey,8.3,1968,2h 29m,G,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",Stanley Kubrick,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester"
98, Reservoir Dogs,8.3,1992,1h 39m,R,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen"
99, Lawrence of Arabia,8.3,1962,3h 47m,PG,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",David Lean,Robert Bolt,"Peter O'Toole, Alec Guinness, Anthony Quinn"
100, The Apartment,8.3,1960,2h 5m,Approved,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",Billy Wilder,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray"
101, Incendies,8.3,2010,2h 11m,R,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve,Wajdi Mouawad,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette"
102, Scarface,8.3,1983,2h 50m,R,"Miami in the 1980s: a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Florida, and is eventually undone by his own drug addiction.",Brian De Palma,Oliver Stone,"Al Pacino, Michelle Pfeiffer, Steven Bauer"
103, North by Northwest,8.3,1959,2h 16m,Approved,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock,Ernest Lehman,"Cary Grant, Eva Marie Saint, James Mason"
104, Double Indemnity,8.3,1944,1h 47m,Approved,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",Billy Wilder,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson"
105, Citizen Kane,8.3,1941,1h 59m,PG,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",Orson Welles,Herman J. Mankiewicz,"Orson Welles, Joseph Cotten, Dorothy Comingore"
106, M,8.3,1931,1h 39m,Passed,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Fritz Lang,Thea von Harbou,"Peter Lorre, Ellen Widmann, Inge Landgut"
107, Heat,8.3,1995,2h 50m,R,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,Michael Mann,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer"
108, Vertigo,8.3,1958,2h 8m,PG,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply dis...Read all",Alfred Hitchcock,Alec Coppel,"James Stewart, Kim Novak, Barbara Bel Geddes"
